FID,species,TAG0305,jan38,oct43,jun54,may67,jan80,may94,jul04,aug12,jul14,jun16,jul18,aug20,POINT_X,POINT_Y,usecode,surfgeol,soilgrid,tpi_500,slope9m,floaccum9m,solradmara
835,QUAG,2296,2,2,2,2,2,2,2,2,2,2,2,1,770942.038,3844542.342,1,Qf,15,-16.3062992,5.6089902,0,1086290
836,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,2,770849.0109,3844542.75,2,Qf,15,-14.8022003,6.3401899,83,1088570
837,QUAG,NA,2,2,2,2,2,2,2,2,2,0,0,0,769567.6781,3844544.745,1,Qbf,15,-26.9848003,3.55425,3,1102790
838,QUAG,NA,2,2,2,2,1,0,0,0,0,0,0,0,770897.3138,3844546.186,1,Qf,15,-15.7816,5.6089902,0,1093420
839,QUAG,79,2,2,2,2,2,2,2,2,2,2,2,2,770960.9167,3844549.524,1,Qf,15,-16.2893009,4.05091,3,1088040
840,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,1,769552.605,3844552.977,1,Qbf,15,-27.5855007,0,0,1092820
841,QUDO,NA,2,2,0,0,0,0,0,0,0,0,0,0,771075.722,3844553.868,2,Qf,15,-18.1107006,3.55425,0,1098800
842,QUAG,NA,2,2,2,2,2,2,2,2,2,2,1,1,770845.4523,3844557.826,2,Qf,15,-15.4462996,4.6300201,0,1101630
843,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,1,769567.4037,3844559.381,1,Qbf,15,-27.3953991,0,0,1090450
844,QUAG,NA,2,2,2,2,2,2,2,2,2,2,1,0,769579.2441,3844564.234,1,Qbf,15,-27.2513008,3.3722899,0,1074110
845,QUAG,1369,2,2,2,2,2,2,2,2,2,2,2,1,770998.3505,3844561.215,1,Qa,15,-18.3020992,3.55425,8182,1098850
846,QULO,1164,2,2,2,2,2,2,2,2,2,2,2,2,770990.2085,3844568.473,1,Qa,15,-17.9069004,3.1798301,11,1092220
847,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,1,771043.3349,3844569.5,1,Qf,15,-19.3764992,4.05091,8199,1087540
848,QULO,20,2,2,2,2,2,2,2,2,2,2,2,2,771088.7781,3844571.838,1,Qf,23,-19.1797009,1.59114,2,1092010
849,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,2,771120.1531,3844571.75,1,Qf,23,-19.7852001,4.05091,0,1086930
850,QUAG,2301,2,2,2,2,2,2,2,2,2,2,2,1,770896.6097,3844574.232,1,Qf,15,-16.4659004,6.3401899,2,1088730
851,QUDO,NA,2,2,2,2,2,2,2,2,2,2,1,1,769574.1313,3844573.685,1,Qbf,15,-28.5583,2.5148399,4,1079290
852,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,2,769600.9815,3844574.571,1,Qbf,15,-25.2810001,19.3596001,1,1061480
853,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,2,769585.9307,3844575.282,1,Qbf,15,-28.4720993,2.5148399,18,1085320
854,QUDO,1365,2,2,2,2,2,2,2,2,2,2,2,2,770903.2781,3844584.603,1,Qbf,15,-16.3061008,6.3401899,2,1088670
855,QULO,1141,2,2,2,2,2,2,2,2,2,2,1,1,770915.2,3844586.825,1,Qf,15,-17.3766994,6.3401899,92,1088470
856,QULO,1365,2,2,2,2,2,2,2,2,2,2,2,2,770874.5999,3844588.918,1,Qf,15,-16.6009998,4.05091,87,1094940
857,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,1,771034.6236,3844589.211,1,Qf,15,-19.1324005,3.1798301,2,1091980
858,QUDO,1385,2,2,2,2,2,2,2,2,2,2,2,2,770903.2281,3844593.266,1,Qf,15,-16.5468006,6.3401899,90,1088660
859,QULO,19,2,2,2,2,2,2,2,2,2,2,2,2,771057.9448,3844595.62,1,Qf,15,-19.4272995,3.1798301,6,1091860
860,QULO,130,2,2,2,2,2,2,2,2,2,2,2,2,771135.7876NA9,3844598.29,1,Qt3,2,-23.4393005,5.02004,76,1094270
861,QULO,1142,2,2,2,2,2,2,2,2,2,2,2,1,770915.6624,3844601,1,Qf,15,-17.5461006,6.3401899,4,1088460
862,QULO,11,2,2,2,2,2,2,2,2,2,2,2,2,771030.4836,3844616.884,1,Qt3,15,-19.7807999,5.7193398,9,1072160
863,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,770886.4124,3844619.042,1,Qf,15,-17.3799,6.3401899,2,1088750
864,QULO,1162,2,2,2,2,2,2,2,2,2,2,2,2,771008.9846,3844621.553,1,Qc,15,-17.8490009,18.4647999,2,1017780
865,QULO,12,2,2,2,2,2,2,2,1,1,1,0,0,771029.2951,3844629.634,1,Qt3,15,-20.0359001,5.6089902,6,1083830
866,QUAG,NA,2,2,2,2,2,2,2,0,0,0,0,0,771034.0236,3844632.608,1,Qt3,15,-20.9864998,6.0379901,17,1076350
867,QULO,1326,2,2,2,2,2,2,2,2,2,2,2,2,771002.2864,3844637.317,1,Qc,15,-17.4790001,16.4164009,0,1042610
868,QULO,10,2,2,2,2,2,2,2,2,2,2,2,2,771034.0601,3844641.894,1,Qt3,15,-21.1893005,6.3401899,4,1086810
869,QULO,9,2,2,2,2,2,1,1,1,1,1,1,2,771048.6202,3844646.205,1,Qt3,23,-21.8264999,0,12,1092730
870,QULO,1125,2,2,2,2,2,2,2,2,2,2,2,2,771134.5603,3844704.645,1,Qt3,2,-21.9794006,4.05091,12,1092920
871,QUAG,NA,2,2,2,2,2,2,2,1,1,0,0,0,771077.9528,3844728.98,1,Qt3,2,-23.7329998,5.6089902,1,1091200
872,QULO,NA,2,2,2,2,2,2,2,2,2,2,2,2,771219.8354,3844748.177,1,Qf,14,-20.0044994,7.0813498,0,1097940
873,QULO,109,2,2,2,2,2,2,2,2,2,2,2,2,770984.9211,3844751.922,1,Qc,15,-20.4298,12.9474001,5,1041580
874,QUAG,2274,2,2,2,2,2,2,2,2,2,2,2,2,771140.1362,3844753.136,1,Qt3,2,-21.9232006,3.3722899,1,1101620
875,QUAG,2273,2,2,2,2,2,2,2,2,2,2,2,1,771130.1336,3844754.909,1,Qt3,2,-22.8612003,3.55425,0,1097630
876,QULO,1452,2,2,2,2,2,2,2,2,2,2,2,2,771210.7603,3844756.542,1,Qt3,14,-19.9888992,5.6089902,1,1090770
877,QULO,2479,2,2,2,2,2,2,2,2,2,2,2,2,771220.2693,3844761.063,1,Qt3,14,-18.3435001,10.4979,3,1084780
878,QULO,1448,2,2,2,2,2,2,2,2,2,2,2,2,771200.8426,3844766.984,1,Qt3,14,-21.0347996,7.1684098,6,1086680
879,QULO,113,2,2,2,2,2,2,2,2,2,2,2,2,771018.7292,3844767.408,1,Qc,15,-22.1205006,4.7636399,0,1088500
880,QULO,130,2,2,2,2,2,2,2,2,2,1,1,2,771079.2594,3844773.705,1,Qt3,23,-24.5289993,8.9985104,0,1069480
881,QULO,1447,2,2,2,2,2,2,2,2,2,2,2,2,771071.5281,3844782.041,1,Qt3,23,-23.8528996,8.0617199,5,1074350
882,QULO,114,2,2,2,2,2,2,2,2,2,2,2,2,771002.4486,3844786.17,1,Qc,15,-21.0888996,8.9985104,156,1103590
883,QULO,111,2,2,2,2,2,2,2,2,2,2,2,1,771016.0847,3844774.068,1,Qc,15,-23.2801991,3.1798301,257,1087180
884,QULO,112,2,2,2,2,2,2,2,2,2,2,2,2,771015.3924,3844792.097,1,Qc,15,-21.6079998,6.81322,1,1102130
885,QULO,1463,2,2,2,2,2,2,2,2,2,2,2,1,771074.8105,3844791.436,1,Qt3,23,-24.9799004,7.0813498,223,1097980
886,QUDO,2481,2,2,2,2,2,2,2,2,2,2,2,2,771163.3821NA9,3844805.103NA9,1,Qt3,2,-23.0862007,3.1798301,81,1090390
887,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,771134.0507,3844807.905,1,Qt3,23,-23.8778,3.3722899,3,1078800
888,QULO,126,2,2,2,2,2,2,2,2,2,2,2,2,771071.8412,3844814.693,1,Qt3,15,-21.5009003,12.2406998,32,1104160
889,QULO,131,2,2,2,2,2,2,2,2,2,2,2,2,771044.7682,3844818.516,1,Qc,15,-21.1851006,2.5148399,1,1100450
890,QUDO,2112,2,2,2,2,2,2,2,2,2,2,2,2,771160.5903NA9,3844820.03,1,Qt3,2,-22.3383007,4.6300201,0,1099000
891,QUDO,2489,2,2,2,2,2,2,2,2,2,2,2,2,771180.9137,3844823.966,1,Qt3,2,-21.7282009,2.5148399,0,1100350
892,QULO,125,2,2,2,2,2,2,2,2,2,2,2,2,771082.4323,3844824.339,1,Qt3,15,-22.5648994,8.9301395,15,1107390
893,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,2,771147.5101,3844824.566,1,Qt3,2,-23.2765007,6.0379901,0,1096000
894,QUDO,1303,2,2,2,2,2,2,2,2,2,2,2,2,771168.3599,3844829.557,1,Qt3,2,-21.6518993,4.7636399,19,1087780
895,QUDO,1456,0,1,2,2,2,2,2,2,2,2,2,2,771113.6217,3844837.898,1,Qt3,23,-23.5540009,4.6300201,22,1105680
896,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,771134.5647,3844841.055,1,Qt3,23,-24.6233997,1.59114,7,1090270
897,QUDO,NA,2,2,2,2,2,2,2,2,2,2,1,0,770996.2412,3844846.465,1,Qc,15,-14.4436998,21.6646004,1,1080120
898,QUDO,1331,2,2,2,2,2,2,2,2,2,2,2,2,771196.4118,3844847.7094NA,1,Qt3,2,-20.4666004,3.1798301,1,1087790
899,QULO,8,2,2,2,2,2,2,2,2,2,2,2,2,771026.5509,3844850.637,1,Qc,15,-17.5352001,8.5076704,149,1094790
900,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,2,771131.3462,3844854.723,1,Qt3,23,-23.9244003,4.6300201,3,1098380
901,QULO,144,2,2,2,2,2,2,2,2,2,2,2,1,771092.6643,3844858.117,1,Qc,15,-22.2782993,7.0813498,9,1098180
902,QUDO,1448,2,2,2,2,2,2,2,2,2,2,2,2,771108.4275,3844863.745,1,Qc,23,-22.3157005,4.6300201,0,1105650
903,QUDO,NA,0,1,1,2,2,2,2,2,2,2,2,2,771131.9402,3844867.863,1,Qt3,2,-24.3397999,5.02004,0,1094270
904,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,771176.0758,3844887.978,1,Qf,2,-22.1958008,3.1798301,4087,1089430
905,QULO,7,2,2,2,2,2,2,2,2,2,2,2,2,771054.5302,3844887.271,1,Qc,15,-18.8031998,7.9071598,12,1081300
906,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,771166.3114NA9,3844889.234,1,Qf,2,-22.1714001,7.5061402,0,1092130
907,QUAG,1450,0,0,0,0,0,0,0,0,1,1,1,2,771045.97580NA,3844890.877,1,Qc,15,-18.0846996,7.1684098,11,1085940
908,QUAG,NA,2,2,0,0,0,0,0,0,0,0,0,0,771103.5942,3844891.177NA9,1,Qc,23,-21.1746998,7.9071598,108,1081500
909,QULO,1360,2,2,2,2,2,2,2,2,2,1,1,1,771194.6578NA9,3844891.29,1,Qf,2,-20.5541992,4.6300201,0,1077420
910,QULO,NA,2,2,2,2,2,2,2,2,2,2,1,1,771013.9943,3844892.433,1,Qc,15,-14.0293999,10.9485998,6,1090360
911,QULO,6,1,2,2,2,2,2,2,2,2,2,2,2,771075.2802,3844893.962,1,Qc,15,-21.5983009,5.02004,20,1078540
912,QUAG,1468,0,0,0,0,0,0,0,0,1,1,1,2,771046.4683,3844894.469,1,Qc,15,-18.2560997,7.1684098,11,1085940
913,QUAG,1468,0,0,0,0,0,0,0,0,1,1,1,2,771047.2795,3844895.223,1,Qc,15,-18.2560997,7.1684098,11,1085940
914,QUAG,1454,0,0,0,0,0,0,0,1,1,1,1,2,771062.141,3844896.41,1,Qc,15,-20.9491997,8.9985104,0,1089570
915,QUAG,1466,0,0,0,0,0,0,0,0,1,1,1,2,771057.8535,3844897.482,1,Qc,15,-20.0069008,7.1684098,2,1085930
916,QUAG,1469,0,0,0,0,0,0,0,0,1,1,1,2,771062.1989,3844898.062,1,Qc,15,-20.0370998,8.9985104,0,1089570
917,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,2,771118.3309,3844906.557,1,Qt3,23,-23.5624008,5.7193398,0,1100280
918,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,771206.0836,3844908.864,1,Qf,2,-22.2560997,7.0813498,0,1054820
919,QULO,NA,0,0,0,0,0,0,0,0,1,2,2,2,771090.4169,3844917.058,1,Qc,23,-21.1324005,7.0813498,0,1107630
920,QUAG,NA,0,0,0,0,0,0,0,2,2,2,2,2,771091.8597,3844919.681,1,Qc,23,-21.2217999,7.0813498,0,1107630
921,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,771148.06NA999,3844920.657NA9,2,Qf,2,-22.9475994,5.02004,1,1093030
922,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,2,771129.3609,3844923.174,2,Qa,2,-24.0125008,2.5148399,2096,1099390
923,QUDO,NA,2,2,2,2,2,2,2,2,2,2,2,2,771179.7587NA9,3844925.75,2,Qf,2,-21.4178009,5.02004,0,1109270
924,QUSP,NA,2,2,0,0,0,0,0,0,0,0,0,0,771207.868NA99,3844930.234,1,Qf,2,-20.9165993,5.6089902,4035,1104950
925,QULO,122,2,2,2,2,2,2,2,2,2,2,2,1,771048.1716,3844931.387,1,Qc,15,-16.1797009,18.4944992,2,1095050
926,QUAG,1472,2,2,2,2,2,2,2,2,2,2,2,1,771079.3839,3844944.471,1,Qc,15,-20.0361996,3.1798301,1,1100350
927,QUAG,NA,2,2,1,0,0,0,0,0,0,0,0,0,771161.6088NA9,3844946.918,2,Qf,2,-22.9202995,5.6089902,3,1088980
928,QULO,NA,2,2,2,2,2,2,1,0,0,0,0,0,771207.4118NA9,3844965.563,1,Qf,2,-20.0562992,3.55425,18,1098010
929,QUAG,NA,2,2,2,2,2,2,2,2,2,2,1,0,771154.9435NA9,3844965.732,2,Qc,2,-23.4708996,4.05091,29,1091080
930,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,2,771136.9771,3844971.896,2,Qc,2,-24.5289001,2.24963,0,1081300
931,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,2,771152.9584NA9,3844982.464,2,Qt3a,2,-24.0044994,4.05091,8,1090880
932,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,2,771172.5718,3844984.885,2,Qp,2,-22.2299004,3.1798301,6,1089750
933,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,2,771163.1962NA9,3844999.769,2,Qp,2,-23.6473007,6.0379901,11,1073980
934,QUAG,NA,2,2,2,2,2,2,2,2,2,2,2,1,771150.1034,3845005.022,2,Qt3a,2,-24.5825005,6.81322,0,1064240
935,QULO,NA,2,2,2,2,2,2,2,2,2,2,2,2,771168.2051NA9,3845027.8224NA,1,Qp,2,-23.4064007,7.1684098,0,1086300
936,QULO,2118,2,2,2,2,2,2,2,2,2,2,2,1,771249.1578NA9,3845119.283,1,Qp,2,-17.5646992,5.6089902,1,1093000
937,QUSP,NA,2,2,0,0,0,0,0,0,0,0,0,0,771201.5860NA9,3845121.72NA99,1,Qp,2,-20.7922993,3.3722899,45,1102610
938,QUAG,NA,2,2,2,2,2,2,2,2,2,2,0,0,771264.0331NA9,3845125.591,1,Qp,2,-17.9953995,3.55425,0,1106820
